"EmpId","Attrition","StandardHours","HourlyRate","MonthlyIncome","PercentSalaryHike","StockOptionLevel","Age","DistanceFromHome","Education","EducationField","Gender","MaritalStatus","BusinessTravel","Department","JobLevel","JobRole","JobSatisfaction","NumCompaniesWorked","PerformanceRating","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","OverTime","MonthlyIncomeBins","EducationBins","JobSatisfactionBins","WorkLifeBalanceBins"
100032,"No",200,32,6465,13,0,44,10,4,"Other","Male","Married","Travel_Rarely","Research & Development","2","Healthcare Representative","4",2,"3",9,"5","4",4,2,1,3,"Yes","5K-8K","Masters","Very High","Best"
100033,"No",200,11,2206,13,0,30,9,2,"Medical","Male","Single","Travel_Rarely","Research & Development","1","Laboratory Technician","3",1,"3",10,"5","3",10,0,1,8,"No","0-3K","College","High","Better"
100034,"Yes",200,10,2086,14,1,39,5,3,"Technical Degree","Male","Married","Travel_Rarely","Sales","2","Sales Representative","4",3,"3",19,"6","4",1,0,0,0,"No","0-3K","Bachelor","Very High","Best"
100035,"Yes",200,11,2293,16,1,24,1,3,"Medical","Male","Married","Travel_Rarely","Research & Development","1","Research Scientist","4",2,"3",6,"2","2",2,0,2,0,"Yes","0-3K","Bachelor","Very High","Good"
100036,"No",200,13,2645,12,2,43,2,2,"Medical","Female","Divorced","Travel_Rarely","Research & Development","1","Research Scientist","3",1,"3",6,"3","2",5,3,1,4,"No","0-3K","College","High","Good"
100037,"Yes",200,13,2683,14,0,50,3,2,"Marketing","Male","Married","Travel_Rarely","Sales","1","Sales Representative","3",1,"3",3,"2","3",3,2,0,2,"Yes","0-3K","College","High","Better"
100038,"No",200,32.5483651226158,6677.14986376022,13,0,35,2,3,"Marketing","Female","Married","Travel_Rarely","Sales","1","Sales Representative","4",1,"3",2,"3","3",2,2,2,2,"No","5K-8K","Bachelor","Very High","Better"
100039,"No",200,17,3419,14,1,36,5,4,"Life Sciences","Female","Married","Travel_Rarely","Research & Development","1","Research Scientist","1",9,"3",6,"3","4",1,1,0,0,"Yes","3K-5K","Masters","Low","Best"
100040,"No",200,27,5376,19,2,33,1,3,"Life Sciences","Female","Married","Travel_Frequently","Sales","2","Sales Executive","1",2,"3",10,"3","3",5,3,1,3,"No","5K-8K","Bachelor","Low","Better"
100041,"No",200,10,1951,12,1,35,4,2,"Other","Male","Divorced","Travel_Rarely","Research & Development","1","Laboratory Technician","4",1,"3",1,"3","3",1,0,0,0,"No","0-3K","College","Very High","Better"
100042,"No",200,12,2341,13,1,27,2,4,"Life Sciences","Female","Divorced","Travel_Rarely","Research & Development","1","Laboratory Technician","1",1,"3",1,"6","3",1,0,0,0,"No","0-3K","Masters","Low","Better"
100043,"Yes",200,11,2293,12,0,26,25,3,"Life Sciences","Male","Single","Travel_Rarely","Research & Development","1","Laboratory Technician","3",1,"3",1,"2","2",1,0,0,1,"No","0-3K","Bachelor","High","Good"
100044,"No",200,44,8726,15,0,27,8,3,"Life Sciences","Male","Single","Travel_Frequently","Sales","3","Sales Executive","3",1,"3",9,"0","3",9,8,1,7,"No","8K-12K","Bachelor","High","Better"
100045,"No",200,20,4011,23,0,30,1,2,"Medical","Female","Single","Travel_Frequently","Research & Development","2","Laboratory Technician","4",1,"4",12,"2","3",12,8,3,7,"No","3K-5K","College","Very High","Better"
100046,"Yes",200,98,19545,12,0,41,12,3,"Technical Degree","Female","Married","Travel_Rarely","Research & Development","5","Research Director","3",1,"3",23,"0","3",22,15,15,8,"No","12K+","Bachelor","High","Better"
100047,"No",200,23,4568,20,0,34,23,4,"Marketing","Male","Single","Non-Travel","Sales","2","Sales Executive","3",0,"4",10,"2","3",9,5,8,7,"No","3K-5K","Masters","High","Better"
100048,"No",200,15,3022,21,0,37,19,2,"Life Sciences","Male","Married","Travel_Rarely","Research & Development","1","Research Scientist","2",4,"4",8,"1","3",1,0,0,0,"No","3K-5K","College","Medium","Better"
100049,"No",200,29,5772,21,0,46,5,4,"Marketing","Male","Single","Travel_Frequently","Sales","2","Sales Executive","4",4,"4",14,"4","3",9,6,0,8,"Yes","5K-8K","Masters","Very High","Better"
100050,"No",200,11,2269,19,0,35,8,1,"Life Sciences","Male","Married","Travel_Rarely","Research & Development","1","Laboratory Technician","4",1,"3",1,"2","3",1,0,0,1,"No","0-3K","Below College","Very High","Better"
100051,"Yes",200,27,5381,13,0,48,1,2,"Life Sciences","Male","Single","Travel_Rarely","Research & Development","3","Laboratory Technician","3",9,"3",23,"2","3",1,0,0,0,"Yes","5K-8K","College","High","Better"
100052,"Yes",200,17,3441,13,0,28,5,4,"Technical Degree","Male","Single","Travel_Rarely","Research & Development","1","Laboratory Technician","3",1,"3",2,"3","2",2,2,2,2,"Yes","3K-5K","Masters","High","Good"
100053,"No",200,27,5454,21,1,44,1,5,"Marketing","Female","Divorced","Travel_Rarely","Sales","2","Sales Executive","1",4,"4",9,"2","2",4,3,1,3,"Yes","5K-8K","Doctor","Low","Good"
100054,"No",200,49,9884,13,1,35,11,2,"Medical","Male","Married","Non-Travel","Research & Development","3","Healthcare Representative","1",2,"3",10,"3","3",4,0,2,3,"Yes","8K-12K","College","Low","Better"
100055,"No",200,21,4157,19,1,26,23,3,"Marketing","Female","Married","Travel_Rarely","Sales","2","Sales Executive","4",7,"3",5,"2","2",2,2,0,0,"Yes","3K-5K","Bachelor","Very High","Good"
100056,"No",200,67,13458,12,0,33,1,2,"Life Sciences","Female","Single","Travel_Frequently","Research & Development","3","Research Director","4",1,"3",15,"1","3",15,14,8,12,"Yes","12K+","College","Very High","Better"
100057,"No",200,45,9069,22,1,35,18,5,"Life Sciences","Male","Married","Travel_Frequently","Sales","3","Sales Executive","1",1,"4",9,"3","2",9,8,1,8,"No","8K-12K","Doctor","Low","Good"
100058,"No",200,20,4014,15,1,35,23,4,"Medical","Female","Married","Travel_Rarely","Research & Development","1","Laboratory Technician","1",3,"3",4,"3","3",2,2,2,2,"Yes","3K-5K","Masters","Low","Better"
100059,"No",200,30,5915,22,1,31,7,4,"Life Sciences","Male","Divorced","Travel_Rarely","Research & Development","2","Laboratory Technician","4",3,"4",10,"3","2",7,7,1,7,"No","5K-8K","Masters","Very High","Good"
100060,"No",200,30,5993,18,1,37,1,4,"Life Sciences","Male","Divorced","Travel_Rarely","Research & Development","2","Manufacturing Director","3",1,"3",7,"2","4",7,5,0,7,"No","5K-8K","Masters","High","Best"
100061,"No",200,31,6162,22,1,32,1,3,"Medical","Male","Married","Travel_Rarely","Research & Development","2","Manufacturing Director","4",1,"4",9,"3","3",9,8,7,8,"Yes","5K-8K","Bachelor","Very High","Better"
100062,"No",200,12,2406,11,0,38,29,5,"Life Sciences","Female","Single","Travel_Frequently","Research & Development","2","Laboratory Technician","4",1,"3",10,"2","3",10,3,9,9,"No","0-3K","Doctor","Very High","Better"
100063,"No",200,94,18740,12,1,50,7,2,"Medical","Female","Divorced","Travel_Rarely","Research & Development","5","Research Director","3",5,"3",29,"2","2",27,3,13,8,"Yes","12K+","College","High","Good"
100064,"No",200,38,7637,11,0,59,25,3,"Life Sciences","Female","Single","Travel_Rarely","Sales","3","Sales Executive","1",7,"1",28,"3","2",21,16,7,9,"No","5K-8K","Bachelor","Low","Good"
100065,"No",200,50,10096,13,3,36,8,3,"Technical Degree","Female","Divorced","Travel_Rarely","Research & Development","3","Healthcare Representative","3",1,"3",17,"2","3",17,14,12,8,"No","8K-12K","Bachelor","High","Better"
100066,"No",200,74,14756,14,3,55,8,3,"Medical","Female","Divorced","Travel_Rarely","Research & Development","4","Manager","3",2,"3",21,"2","3",5,0,0,2,"Yes","12K+","Bachelor","High","Better"
100067,"No",200,32,6499,13,0,36,11,3,"Life Sciences","Male","Single","Travel_Frequently","Research & Development","2","Manufacturing Director","2",1,"1",6,"3","3",6,5,0,3,"No","5K-8K","Bachelor","Medium","Better"
100068,"No",200,49,9724,17,1,45,7,3,"Life Sciences","Male","Divorced","Travel_Rarely","Research & Development","3","Research Scientist","1",2,"3",25,"2","3",1,0,0,0,"No","8K-12K","Bachelor","Low","Better"
100069,"No",200,11,2194,13,1,35,1,3,"Medical","Male","Married","Travel_Frequently","Research & Development","1","Research Scientist","1",4,"3",5,"2","2",3,2,1,2,"No","0-3K","Bachelor","Low","Good"
100070,"Yes",200,17,3388,17,1,36,9,3,"Medical","Male","Married","Travel_Rarely","Research & Development","1","Research Scientist","3",0,"3",2,"0","2",1,0,0,0,"Yes","3K-5K","Bachelor","High","Good"
100071,"No",200,27,5473,11,0,59,1,1,"Life Sciences","Female","Single","Travel_Frequently","Sales","2","Sales Executive","3",7,"3",20,"2","2",4,3,1,3,"No","5K-8K","Below College","High","Good"
100072,"No",200,14,2703,23,1,29,2,3,"Life Sciences","Male","Married","Travel_Rarely","Research & Development","1","Research Scientist","2",0,"4",6,"3","3",5,4,0,4,"No","0-3K","Bachelor","Medium","Better"
100073,"No",200,13,2501,17,0,31,1,4,"Medical","Male","Single","Travel_Rarely","Research & Development","1","Research Scientist","2",1,"3",1,"4","3",1,1,1,0,"No","0-3K","Masters","Medium","Better"
100074,"No",200,31,6220,17,2,32,1,3,"Life Sciences","Male","Married","Travel_Rarely","Research & Development","2","Research Scientist","2",1,"3",10,"3","3",10,4,0,9,"No","5K-8K","Bachelor","Medium","Better"
100075,"No",200,15,3038,12,0,36,6,3,"Life Sciences","Female","Married","Travel_Rarely","Research & Development","1","Laboratory Technician","4",3,"3",5,"3","3",1,0,0,0,"No","3K-5K","Bachelor","Very High","Better"
100076,"No",200,22,4424,23,0,31,8,4,"Life Sciences","Female","Single","Travel_Rarely","Research & Development","2","Manufacturing Director","4",1,"4",11,"2","3",11,7,1,8,"No","3K-5K","Masters","Very High","Better"
100077,"No",200,22,4312,14,0,35,1,4,"Marketing","Male","Single","Travel_Rarely","Sales","2","Sales Executive","1",0,"2",16,"2","3",15,13,2,8,"No","3K-5K","Masters","Low","Better"
100078,"No",200,66,13245,14,0,45,6,4,"Other","Male","Married","Travel_Rarely","Research & Development","3","Research Director","1",4,"3",17,"3","4",0,0,0,0,"Yes","12K+","Masters","Low","Best"
100079,"No",200,68,13664,13,0,37,7,4,"Medical","Male","Single","Travel_Rarely","Research & Development","3","Research Director","3",4,"3",16,"3","4",5,2,0,2,"No","12K+","Masters","High","Best"
100080,"No",200,25,5021,22,1,46,5,2,"Medical","Male","Divorced","Travel_Rarely","Human Resources","2","Human Resources","2",8,"4",16,"2","3",4,2,0,2,"Yes","5K-8K","College","Medium","Better"
100081,"No",200,26,5126,12,2,30,1,1,"Life Sciences","Male","Married","Travel_Rarely","Research & Development","2","Laboratory Technician","4",1,"3",10,"1","2",10,8,3,0,"Yes","5K-8K","Below College","Very High","Good"
100082,"No",200,14,2859,18,0,35,1,3,"Medical","Male","Single","Travel_Rarely","Research & Development","1","Research Scientist","3",1,"3",6,"3","3",6,4,0,4,"No","0-3K","Bachelor","High","Better"
100083,"No",200,51,10239,14,1,55,1,2,"Life Sciences","Male","Married","Travel_Rarely","Sales","3","Sales Executive","4",3,"3",24,"4","3",1,0,1,0,"No","8K-12K","College","Very High","Better"
100084,"No",200,27,5329,12,3,38,6,3,"Medical","Female","Divorced","Non-Travel","Research & Development","2","Research Scientist","4",7,"3",17,"3","3",13,11,1,9,"Yes","5K-8K","Bachelor","Very High","Better"
100085,"No",200,22,4325,15,0,34,1,2,"Medical","Male","Married","Travel_Rarely","Research & Development","2","Manufacturing Director","2",1,"2",5,"2","3",5,2,1,3,"No","3K-5K","College","Medium","Better"
100086,"No",200,36,7260,11,0,56,7,3,"Life Sciences","Male","Single","Travel_Rarely","Research & Development","3","Manufacturing Director","4",4,"3",37,"3","2",6,4,0,2,"No","5K-8K","Bachelor","Very High","Good"
100087,"No",200,12,2322,13,1,23,2,1,"Technical Degree","Male","Divorced","Travel_Rarely","Sales","1","Sales Representative","1",3,"3",3,"3","3",0,0,0,0,"No","0-3K","Below College","Low","Better"
100088,"No",200,10,2075,23,2,51,9,4,"Life Sciences","Male","Married","Travel_Rarely","Research & Development","1","Laboratory Technician","4",3,"4",10,"4","3",4,2,0,3,"No","0-3K","Masters","Very High","Better"
100089,"No",200,21,4152,19,3,30,2,3,"Life Sciences","Male","Married","Travel_Rarely","Research & Development","2","Healthcare Representative","4",1,"3",11,"3","3",11,10,10,8,"No","3K-5K","Bachelor","Very High","Better"
100090,"Yes",200,48,9619,16,0,46,9,2,"Medical","Male","Single","Travel_Rarely","Sales","3","Sales Executive","4",1,"3",9,"3","3",9,8,4,7,"No","8K-12K","College","Very High","Better"
100091,"No",200,68,13503,22,1,40,1,4,"Life Sciences","Male","Married","Travel_Frequently","Research & Development","4","Healthcare Representative","2",1,"2",22,"3","2",22,3,11,11,"No","12K+","Masters","Medium","Good"
100092,"No",200,27,5441,22,0,51,21,4,"Marketing","Male","Single","Travel_Rarely","Sales","2","Sales Executive","4",0,"4",11,"2","1",10,7,1,0,"Yes","5K-8K","Masters","Very High","Bad"
100093,"No",200,26,5209,12,3,30,4,2,"Medical","Female","Divorced","Travel_Rarely","Sales","2","Sales Executive","2",1,"3",11,"4","2",11,8,2,7,"Yes","5K-8K","College","Medium","Good"
100094,"No",200,53,10673,13,1,46,1,3,"Medical","Male","Married","Travel_Frequently","Research & Development","3","Healthcare Representative","1",2,"2",21,"5","2",10,9,9,5,"Yes","8K-12K","Bachelor","Low","Good"
100095,"No",200,25,5010,16,0,32,6,4,"Medical","Male","Single","Travel_Rarely","Sales","2","Sales Executive","3",1,"3",12,"0","3",11,8,5,7,"No","5K-8K","Masters","High","Better"
100096,"No",200,68,13549,12,1,54,2,4,"Technical Degree","Female","Married","Travel_Rarely","Research & Development","3","Research Director","3",9,"3",16,"5","1",4,3,0,3,"No","12K+","Masters","High","Bad"
100097,"No",200,25,4999,21,1,24,3,2,"Other","Female","Married","Travel_Rarely","Sales","2","Sales Executive","3",0,"4",4,"2","2",3,2,0,2,"No","3K-5K","College","High","Good"
100098,"No",200,21,4221,15,0,28,4,3,"Medical","Male","Married","Non-Travel","Sales","2","Sales Executive","3",1,"3",5,"3","4",5,4,0,4,"No","3K-5K","Bachelor","High","Best"
100099,"No",200,69,13872,13,0,58,10,4,"Medical","Male","Single","Travel_Rarely","Sales","4","Sales Executive","3",0,"3",38,"1","2",37,10,1,8,"No","12K+","Masters","High","Good"
100100,"No",200,10,2042,12,1,44,23,3,"Medical","Male","Married","Non-Travel","Research & Development","2","Laboratory Technician","2",4,"3",17,"3","4",3,2,1,2,"No","0-3K","Bachelor","Medium","Best"
100101,"Yes",200,10,2073,22,0,37,6,4,"Human Resources","Male","Divorced","Travel_Rarely","Human Resources","1","Human Resources","1",4,"4",7,"3","3",3,2,0,2,"Yes","0-3K","Masters","Low","Better"
100102,"No",200,15,2956,13,0,32,1,1,"Life Sciences","Male","Single","Travel_Rarely","Research & Development","1","Research Scientist","1",1,"1",1,"2","3",1,0,0,0,"No","0-3K","Below College","Low","Better"
100103,"Yes",200,15,2926,18,0,20,6,3,"Life Sciences","Female","Single","Travel_Frequently","Research & Development","1","Laboratory Technician","4",1,"3",1,"5","3",1,0,1,0,"Yes","0-3K","Bachelor","Very High","Better"
100104,"No",200,24,4809,14,0,34,6,4,"Other","Female","Single","Travel_Rarely","Research & Development","2","Research Scientist","3",1,"3",16,"3","3",16,13,2,10,"No","3K-5K","Masters","High","Better"
100105,"No",200,26,5163,14,1,37,2,2,"Life Sciences","Male","Divorced","Non-Travel","Research & Development","2","Healthcare Representative","4",5,"3",17,"2","4",1,0,0,0,"No","5K-8K","College","Very High","Best"
100106,"No",200,94,18844,21,1,59,2,4,"Human Resources","Female","Married","Non-Travel","Human Resources","5","Manager","4",9,"4",30,"3","3",3,2,2,2,"No","12K+","Masters","Very High","Better"
100107,"No",200,91,18172,19,0,50,1,3,"Life Sciences","Female","Married","Travel_Frequently","Research & Development","5","Research Director","2",3,"3",28,"1","2",8,3,0,7,"Yes","12K+","Bachelor","Medium","Good"
100108,"Yes",200,29,5744,11,0,25,5,3,"Marketing","Male","Single","Travel_Rarely","Sales","2","Sales Executive","2",1,"3",6,"1","3",6,4,0,3,"Yes","5K-8K","Bachelor","Medium","Better"
100109,"No",200,14,2889,11,2,25,7,1,"Medical","Male","Married","Travel_Rarely","Research & Development","1","Research Scientist","4",1,"3",2,"2","3",2,2,2,1,"No","0-3K","Below College","Very High","Better"
100110,"No",200,14,2871,15,0,22,15,3,"Medical","Female","Single","Travel_Rarely","Research & Development","1","Laboratory Technician","4",1,"3",1,"5","3",0,0,0,0,"No","0-3K","Bachelor","Very High","Better"
100111,"No",200,37,7484,20,0,51,1,4,"Medical","Female","Single","Travel_Frequently","Research & Development","3","Healthcare Representative","1",3,"2",23,"1","2",13,12,12,8,"No","5K-8K","Masters","Low","Good"
100112,"Yes",200,30,6074,24,0,34,7,3,"Life Sciences","Male","Single","Travel_Frequently","Research & Development","2","Laboratory Technician","3",1,"4",9,"3","3",9,7,0,6,"Yes","5K-8K","Bachelor","High","Better"
100113,"No",200,87,17328,12,0,54,26,3,"Human Resources","Female","Single","Non-Travel","Human Resources","4","Manager","4",2,"3",23,"3","3",5,3,4,4,"Yes","12K+","Bachelor","Very High","Better"
100114,"No",200,14,2774,12,1,24,18,1,"Life Sciences","Male","Married","Travel_Rarely","Research & Development","1","Laboratory Technician","3",0,"3",6,"2","3",5,3,1,2,"No","0-3K","Below College","High","Better"
100115,"No",200,23,4505,15,1,34,6,4,"Life Sciences","Female","Divorced","Travel_Rarely","Research & Development","2","Research Scientist","2",6,"3",12,"3","3",1,0,0,0,"No","3K-5K","Masters","Medium","Better"
100116,"No",200,37,7428,12,0,37,3,3,"Life Sciences","Male","Single","Travel_Rarely","Sales","3","Sales Executive","4",2,"3",12,"3","3",5,3,1,3,"No","5K-8K","Bachelor","Very High","Better"
100117,"No",200,58,11631,12,0,34,5,3,"Medical","Female","Single","Travel_Rarely","Research & Development","3","Manager","1",2,"3",14,"6","3",11,10,5,8,"No","8K-12K","Bachelor","Low","Better"
100118,"No",200,49,9738,14,1,36,11,2,"Technical Degree","Female","Married","Travel_Frequently","Sales","3","Sales Executive","4",0,"3",10,"6","3",9,7,2,8,"No","8K-12K","College","Very High","Better"
100119,"No",200,14,2835,22,1,36,3,2,"Life Sciences","Female","Divorced","Travel_Rarely","Research & Development","1","Laboratory Technician","4",5,"4",7,"2","3",1,0,0,0,"No","0-3K","College","Very High","Better"
100120,"No",200,85,16959,12,2,43,26,2,"Life Sciences","Male","Married","Travel_Frequently","Sales","4","Manager","4",1,"3",25,"3","4",25,12,4,12,"Yes","12K+","College","Very High","Best"
100121,"No",200,13,2613,25,3,30,23,3,"Life Sciences","Male","Divorced","Travel_Frequently","Research & Development","1","Research Scientist","3",1,"4",10,"2","2",10,7,0,9,"No","0-3K","Bachelor","High","Good"
100122,"No",200,31,6146,13,1,33,22,2,"Marketing","Male","Married","Non-Travel","Sales","2","Sales Executive","2",0,"3",8,"2","4",7,7,0,7,"No","5K-8K","College","Medium","Best"
100123,"Yes",200,25,4963,18,3,56,14,4,"Life Sciences","Female","Married","Travel_Rarely","Research & Development","1","Research Scientist","2",9,"3",7,"2","3",5,4,4,3,"Yes","3K-5K","Masters","Medium","Better"
100124,"No",200,98,19537,13,0,51,6,3,"Life Sciences","Male","Single","Travel_Rarely","Research & Development","5","Research Director","3",7,"3",23,"5","3",20,18,15,15,"No","12K+","Bachelor","High","Better"
100125,"Yes",200,31,6172,18,0,31,6,4,"Life Sciences","Male","Married","Travel_Rarely","Sales","2","Sales Executive","3",4,"3",12,"3","2",7,7,7,7,"Yes","5K-8K","Masters","High","Good"
100126,"No",200,12,2368,19,0,26,6,3,"Other","Female","Married","Travel_Rarely","Research & Development","1","Research Scientist","2",1,"2",5,"3","2",5,4,4,3,"No","0-3K","Bachelor","Medium","Good"
100127,"Yes",200,52,10312,12,1,58,23,4,"Medical","Female","Married","Travel_Rarely","Research & Development","3","Healthcare Representative","4",1,"3",40,"3","2",40,10,15,6,"No","8K-12K","Masters","Very High","Good"
100128,"Yes",200,8,1675,19,0,19,22,1,"Marketing","Male","Single","Travel_Rarely","Sales","1","Sales Representative","3",1,"3",0,"2","2",0,0,0,0,"Yes","0-3K","Below College","High","Good"
100129,"No",200,13,2523,14,1,22,2,1,"Technical Degree","Male","Married","Travel_Rarely","Research & Development","1","Laboratory Technician","4",0,"3",3,"2","3",2,1,2,1,"No","0-3K","Below College","Very High","Better"
100130,"No",200,33,6567,14,0,49,20,4,"Medical","Female","Married","Travel_Rarely","Research & Development","2","Manufacturing Director","1",1,"2",16,"2","2",15,11,5,11,"No","5K-8K","Masters","Low","Good"
100131,"No",200,24,4739,12,0,43,28,3,"Medical","Female","Single","Travel_Frequently","Research & Development","1","Research Scientist","3",4,"3",18,"2","3",3,2,1,2,"No","3K-5K","Bachelor","High","Better"
