EmpId,StandardHours,HourlyRate,MonthlyIncome,PercentSalaryHike,StockOptionLevel
100150,200,7,1483,14,0
100151,200,28,5605,11,1
100152,200,36,7295,13,2
100153,200,12,2306,20,1
100154,200,12,2348,18,1
100155,200,45,8998,14,0
100156,200,22,4319,13,1
100157,200,31,6132,17,0
100158,200,17,3346,20,1
100159,200,54,10855,11,1
100160,200,11,2231,18,1
100161,200,12,2323,24,2
100162,200,10,2024,18,1
100163,200,14,2713,11,1
100164,200,47,9439,16,1
100165,200,13,2566,15,1
100166,200,100,19926,15,0
100167,200,12,2451,12,1
100168,200,47,9419,12,1
100169,200,43,8686,22,0
100170,200,15,3038,20,0
100171,200,15,3058,16,1
100172,200,12,2325,21,0
100173,200,10,2088,12,0
100174,200,15,3072,11,2
100175,200,25,5006,11,1
100176,200,21,4257,18,1
100177,200,13,2500,14,0
100178,200,6,1102,22,0
100179,200,52,10453,25,3
100180,200,11,2288,12,0
100181,200,20,3929,23,1
100182,200,12,2311,15,0
100183,200,16,3140,22,0
100184,200,18,3690,15,1
100185,200,22,4450,11,2
100186,200,14,2756,13,1
100187,200,95,19033,14,1
100188,200,94,18722,11,0
100189,200,48,9547,17,0
100190,200,69,13734,18,0
100191,200,100,19999,14,1
100192,200,11,2279,16,0
100193,200,30,5916,13,0
100194,200,10,2089,14,3
100195,200,84,16792,23,1
100196,200,18,3564,12,1
100197,200,22,4425,11,0
100198,200,26,5265,16,1
100199,200,33,6553,14,0
100200,200,31,6261,18,1
100201,200,21,4298,19,1
100202,200,34,6804,15,2
100203,200,19,3815,17,1
100204,200,14,2741,15,1
100205,200,33,6673,19,0
100206,200,38,7639,22,3
100207,200,12,2328,16,1
100208,200,11,2153,13,0
100209,200,24,4876,14,1
100210,200,47,9396,16,1
100211,200,52,10400,11,0
100212,200,42,8474,22,0
100213,200,50,9981,14,0
100214,200,62,12490,16,2
100215,200,13,2657,11,0
100216,200,68,13591,18,0
100217,200,33,6696,15,0
100218,200,10,2058,14,0
100219,200,44,8865,12,0
100220,200,30,5940,14,1
100221,200,30,5914,16,0
100222,200,13,2622,21,0
100223,200,61,12185,14,3
100224,200,53,10609,12,2
100225,200,22,4345,12,1
100226,200,11,2177,17,1
100227,200,14,2793,17,1
100228,200,40,7918,14,1
100229,200,44,8789,14,0
100230,200,12,2389,13,0
100231,200,16,3212,15,0
100232,200,96,19232,11,0
100233,200,11,2267,17,0
100234,200,98,19517,11,1
100235,200,12,2436,13,1
100236,200,80,16064,22,1
100237,200,14,2707,20,0
100238,200,95,19068,18,0
100239,200,20,3931,11,1
100240,200,19,3730,14,0
100241,200,11,2232,14,3
100242,200,22,4465,18,0
100243,200,15,3072,16,2
100244,200,17,3319,17,2
100245,200,96,19202,11,1
100246,200,68,13675,12,1
100247,200,15,2911,13,1
100248,200,30,5957,13,1
100249,200,20,3920,14,1
100250,200,32,6434,17,1
100251,200,50,10048,11,2
100252,200,55,10938,25,0
100253,200,12,2340,19,0
100254,200,33,6545,13,0
100255,200,35,6931,14,1
100256,200,24,4898,12,2
100257,200,13,2593,11,1
100258,200,97,19436,19,1
100259,200,14,2723,11,0
100260,200,17,3479,11,0
100261,200,14,2794,20,0
100262,200,26,5249,18,1
100263,200,11,2176,13,0
100264,200,84,16872,12,1
100265,200,17,3485,11,0
100266,200,33,6644,19,2
100267,200,28,5582,21,1
100268,200,20,4000,12,2
100269,200,67,13496,14,0
100270,200,16,3210,11,1
100271,200,95,19045,14,0
100272,200,59,11849,12,1
100273,200,10,2070,23,1
100274,200,33,6502,14,1
100275,200,16,3230,17,0
100276,200,68,13603,18,2
100277,200,60,11996,18,1
100278,200,28,5605,24,1
100279,200,32,6397,20,1
100280,200,96,19144,14,2
100281,200,88,17584,16,3
100282,200,25,4907,25,0
100283,200,23,4554,18,0
100284,200,27,5415,19,1
100285,200,24,4741,13,1
100286,200,11,2115,12,0
100287,200,16,3161,22,1
100288,200,29,5745,14,1
100289,200,12,2373,13,1
100290,200,17,3310,21,0
100291,200,93,18665,11,0
100292,200,22,4485,12,0
100293,200,14,2789,11,1
100294,200,29,5828,12,0
100295,200,12,2326,12,3
100296,200,68,13525,14,1
100297,200,7,1420,13,0
100298,200,40,8020,15,2
100299,200,18,3688,18,2
100300,200,27,5482,18,1
100301,200,80,16015,19,0
100302,200,6,1200,12,0
100303,200,28,5661,19,0
100304,200,35,6929,11,1
100305,200,48,9613,17,3
100306,200,28,5674,15,1
100307,200,27,5484,14,1
100308,200,60,12061,17,1
100309,200,28,5660,13,1
100310,200,24,4821,12,1
100311,200,32,6410,12,0
100312,200,26,5210,18,1
100313,200,13,2695,18,1
100314,200,59,11878,11,2
100315,200,85,17068,14,0
100316,200,12,2455,19,0
100317,200,70,13964,12,0
100318,200,25,4941,15,0
100319,200,12,2478,12,0
100320,200,26,5228,11,0
100321,200,22,4478,11,0
100322,200,38,7547,12,3
100323,200,25,5055,16,0
100324,200,17,3464,13,0
100325,200,29,5775,13,2
100326,200,45,8943,24,1
100327,200,96,19272,15,1
100328,200,26,5238,18,0
100329,200,23,4682,14,0
100330,200,92,18300,11,1
100331,200,26,5257,11,1
100332,200,32,6349,13,1
100333,200,24,4869,12,0
100334,200,50,9985,16,1
100335,200,18,3697,14,2
100336,200,37,7457,22,3
100337,200,11,2119,11,0
100338,200,20,3983,17,0
100339,200,31,6118,13,3
100340,200,31,6214,18,1
100341,200,32,6347,16,2
100342,200,58,11510,14,1
100343,200,36,7143,14,0
100344,200,41,8268,14,2
100345,200,40,8095,13,0
100346,200,15,2904,12,2
100347,200,30,6032,15,0
100348,200,15,2976,19,0
100349,200,80,15992,14,0
100350,200,23,4649,14,1
100351,200,13,2696,11,1
100352,200,12,2370,13,1
100353,200,63,12504,21,1
100354,200,30,5974,13,2
100355,200,24,4736,12,1
100356,200,26,5296,17,1
100357,200,34,6781,23,0
100358,200,11,2174,11,0
100359,200,33,6653,15,0
100360,200,48,9699,11,1
100361,200,34,6755,11,0
100362,200,11,2213,13,1
100363,200,13,2610,24,0
100364,200,14,2851,13,0
100365,200,17,3452,20,1
100366,200,26,5258,14,0
100367,200,47,9355,18,0
100368,200,52,10496,15,0
100369,200,32,6380,12,2
100370,200,13,2657,16,0
100371,200,14,2716,15,0
100372,200,11,2201,16,0
100373,200,33,6540,19,0
100374,200,19,3816,11,1
100375,200,26,5253,16,0
100376,200,55,10965,24,0
100377,200,25,4936,11,1
100378,200,13,2543,13,1
100379,200,27,5304,13,0
100380,200,83,16659,13,0
100381,200,21,4260,12,1
100382,200,12,2476,18,1
100383,200,16,3102,22,0
100384,200,11,2244,13,1
100385,200,38,7596,13,2
100386,200,11,2285,23,0
100387,200,15,3034,12,1
100388,200,29,5715,12,2
100389,200,13,2576,16,1
100390,200,21,4197,12,0
100391,200,72,14336,11,1
100392,200,17,3448,22,1
100393,200,97,19406,11,1
100394,200,33,6538,15,1
100395,200,22,4306,12,1
100396,200,11,2258,20,1
100397,200,23,4522,14,0
100398,200,22,4487,11,0
100399,200,22,4449,15,2
100400,200,11,2218,12,1
100401,200,96,19197,14,1
100402,200,66,13212,11,3
100403,200,33,6577,11,0
100404,200,42,8392,16,1
100405,200,23,4558,12,1
100406,200,20,4031,13,1
100407,200,40,7969,14,0
100408,200,13,2654,21,2
100409,200,83,16555,13,0
100410,200,23,4556,11,1
100411,200,30,6091,20,0
100412,200,98,19566,11,0
100413,200,24,4810,14,1
100414,200,23,4523,11,3
100415,200,16,3202,16,0
100416,200,12,2351,16,1
100417,200,9,1702,23,1
100418,200,90,18041,14,0
100419,200,14,2886,22,2
100420,200,10,2097,15,1
100421,200,60,11935,18,0
100422,200,13,2546,16,0
100423,200,13,2564,12,0
100424,200,42,8412,11,0
100425,200,71,14118,12,1
100426,200,85,17046,15,1
100427,200,13,2564,14,0
100428,200,51,10266,19,0
100429,200,25,5070,13,3
100430,200,89,17861,13,0
100431,200,21,4230,15,0
100432,200,19,3780,11,0
100433,200,14,2768,12,1
100434,200,45,9071,19,1
100435,200,53,10648,25,1
100436,200,68,13610,12,0
100437,200,17,3408,13,3
100438,200,15,2983,14,0
100439,200,38,7632,12,0
100440,200,49,9824,12,0
100441,200,50,9950,15,3
100442,200,10,2093,17,1
100443,200,50,9980,14,0
100444,200,19,3894,16,0
100445,200,20,4051,14,1
100446,200,84,16835,23,0
100447,200,31,6230,14,0
100448,200,24,4717,11,0
100449,200,66,13237,15,0
100450,200,19,3755,11,1
100451,200,33,6582,13,0
100452,200,37,7406,21,1
100453,200,24,4805,19,1
100454,200,14,2741,11,1
100455,200,21,4262,12,2
100456,200,81,16184,19,1
100457,200,58,11557,21,1
100458,200,9,1878,14,0
100459,200,55,10932,15,1
100460,200,34,6811,17,0
100461,200,22,4306,12,2
100462,200,24,4859,16,0
100463,200,27,5337,12,0
100464,200,12,2340,18,0
100465,200,37,7491,17,0
100466,200,53,10527,11,0
100467,200,83,16595,16,1
100468,200,44,8834,13,1
100469,200,28,5577,12,2
100470,200,24,4707,12,0
100471,200,12,2400,13,2
100472,200,49,9824,19,1
100473,200,32,6447,12,1
100474,200,98,19502,17,1
100475,200,14,2725,11,2
100476,200,31,6272,20,2
100477,200,11,2127,21,1
100478,200,91,18200,11,1
100479,200,10,2096,11,0
100480,200,14,2886,16,1
100481,200,10,2033,18,1
100482,200,18,3622,13,1
100483,200,21,4233,17,0
100484,200,18,3681,14,0
100485,200,27,5460,22,2
100486,200,11,2187,12,2
100487,200,48,9602,11,1
100488,200,14,2836,13,0
100489,200,20,4089,13,2
100490,200,83,16627,14,1
100491,200,13,2619,17,0
100492,200,28,5679,13,1
100493,200,77,15402,11,1
100494,200,30,5985,11,0
100495,200,13,2579,18,2
100496,200,15,3041,11,1
100497,200,17,3447,11,0
100498,200,98,19513,12,1
100499,200,14,2773,20,0
100500,200,36,7104,12,0
100501,200,32,6322,12,1
100502,200,10,2083,20,1
100503,200,42,8381,20,0
100504,200,13,2691,12,1
100505,200,21,4286,14,2
100506,200,13,2659,13,1
100507,200,47,9434,15,1
100508,200,28,5561,14,1
100509,200,33,6646,13,0
100510,200,39,7725,23,1
100511,200,54,10725,15,1
100512,200,44,8847,11,1
100513,200,10,2045,13,0
100514,200,5,1009,11,0
100515,200,17,3348,11,0
100516,200,6,1281,18,2
100517,200,14,2819,16,1
100518,200,24,4851,22,1
100519,200,20,4028,20,0
100520,200,14,2720,18,1
100521,200,41,8120,12,0
100522,200,23,4647,20,2
100523,200,23,4680,17,0
100524,200,16,3221,11,3
100525,200,43,8621,14,0
100526,200,23,4577,14,0
100527,200,23,4553,11,0
100528,200,27,5396,12,0
100529,200,34,6796,14,1
100530,200,38,7625,13,0
100531,200,37,7412,11,0
100532,200,56,11159,15,0
100533,200,25,4960,12,0
100534,200,52,10475,21,1
100535,200,74,14814,19,0
100536,200,96,19141,15,3
100537,200,27,5405,14,0
100538,200,44,8793,21,2
100539,200,96,19189,12,1
100540,200,19,3875,15,1
100541,200,11,2216,13,0
100542,200,59,11713,14,1
100543,200,39,7861,14,0
100544,200,19,3708,14,0
100545,200,69,13770,12,2
100546,200,27,5304,23,1
100547,200,13,2642,11,0
100548,200,14,2759,12,0
100549,200,34,6804,18,1
100550,200,31,6142,11,0
100551,200,13,2500,14,1
100552,200,32,6389,15,1
100553,200,56,11103,11,0
100554,200,12,2342,20,0
100555,200,34,6811,19,0
100556,200,11,2297,14,2
100557,200,12,2450,17,0
100558,200,25,5093,11,1
100559,200,27,5309,15,2
100560,200,15,3057,13,1
100561,200,26,5121,14,1
100562,200,84,16856,11,0
100563,200,13,2686,13,0
100564,200,31,6180,23,0
100565,200,33,6632,13,0
100566,200,18,3505,18,0
100567,200,32,6397,12,0
100568,200,31,6274,22,0
100569,200,99,19859,13,1
100570,200,38,7587,15,0
100571,200,21,4258,18,1
100572,200,22,4364,14,1
100573,200,22,4335,12,1
100574,200,27,5326,17,0
100575,200,16,3280,16,0
100576,200,27,5485,11,2
100577,200,22,4342,19,1
100578,200,14,2782,13,2
100579,200,30,5980,12,0
100580,200,22,4381,11,0
100581,200,13,2572,16,1
100582,200,19,3833,21,2
100583,200,21,4244,24,1
100584,200,33,6500,17,1
100585,200,92,18430,13,1
100586,200,8,1601,21,2
100587,200,13,2694,11,3
100588,200,16,3149,20,1
100589,200,88,17639,16,0
100590,200,12,2319,11,1
100591,200,58,11691,11,0
100592,200,27,5324,15,0
100593,200,84,16752,11,1
100594,200,26,5228,15,1
100595,200,14,2700,24,1
100596,200,96,19246,12,0
100597,200,13,2506,13,0
100598,200,30,6062,13,1
100599,200,22,4382,17,0
100600,200,11,2143,13,1
100601,200,31,6162,12,1
100602,200,25,5094,14,0
100603,200,34,6877,24,0
100604,200,11,2274,14,0
100605,200,22,4434,13,1
100606,200,31,6288,15,1
100607,200,13,2553,16,0
100608,200,38,7654,18,2
100609,200,26,5160,16,0
100610,200,86,17159,24,1
100611,200,64,12808,16,1
100612,200,51,10221,21,0
100613,200,24,4779,20,0
100614,200,19,3737,19,1
100615,200,12,2366,14,1
100616,200,9,1706,11,3
100617,200,82,16307,14,1
100618,200,30,5933,12,0
100619,200,17,3424,13,0
100620,200,20,4037,22,1
100621,200,13,2559,11,0
100622,200,31,6201,14,1
100623,200,22,4403,11,1
100624,200,19,3761,12,1
100625,200,55,10934,18,1
100626,200,54,10761,12,1
100627,200,26,5175,12,1
100628,200,69,13826,22,0
100629,200,32,6334,19,2
100630,200,25,4936,13,1
100631,200,24,4775,22,2
100632,200,14,2818,24,1
100633,200,13,2515,14,0
100634,200,12,2342,21,0
100635,200,21,4194,18,0
100636,200,53,10685,20,1
100637,200,10,2022,19,1
100638,200,12,2314,12,1
100639,200,21,4256,12,0
100640,200,18,3580,16,1
100641,200,16,3162,17,0
100642,200,33,6524,14,1
100643,200,14,2899,19,1
100644,200,26,5231,13,1
100645,200,12,2356,19,1
100646,200,14,2800,19,3
100647,200,59,11836,14,1
100648,200,55,10903,16,0
100649,200,15,2973,15,1
100650,200,71,14275,18,0
100651,200,28,5562,13,1
100652,200,23,4537,22,1
100653,200,38,7642,13,0
100654,200,90,17924,11,1
100655,200,26,5204,11,2
100656,200,11,2277,11,1
100657,200,14,2795,24,0
100658,200,13,2532,14,3
100659,200,13,2559,13,0
100660,200,25,4908,14,0
100661,200,12,2380,14,1
100662,200,24,4765,21,1
100663,200,10,2044,13,0
100664,200,13,2693,19,0
100665,200,33,6586,17,1
100666,200,16,3294,18,0
100667,200,21,4171,19,1
100668,200,14,2778,13,1
100669,200,12,2377,18,1
100670,200,12,2404,21,0
100671,200,12,2318,19,0
100672,200,10,2008,14,2
100673,200,31,6244,17,0
100674,200,14,2799,11,0
100675,200,53,10552,13,1
100676,200,12,2329,15,0
100677,200,20,4014,25,1
100678,200,37,7403,11,1
100679,200,11,2259,17,2
100680,200,35,6932,13,1
100681,200,23,4678,18,0
100682,200,68,13582,13,1
100683,200,12,2332,20,0
100684,200,12,2413,18,3
100685,200,49,9705,12,1
100686,200,21,4294,12,0
100687,200,24,4721,13,0
100688,200,13,2519,21,0
100689,200,11,2121,13,0
100690,200,15,2973,19,0
100691,200,29,5855,11,2
100692,200,18,3617,14,1
100693,200,34,6725,12,1
100694,200,52,10325,11,1
100695,200,35,6949,14,0
100696,200,53,10609,11,0
100697,200,22,4447,12,0
100698,200,11,2157,15,1
100699,200,23,4601,16,0
100700,200,85,17099,15,1
100701,200,12,2479,24,0
100702,200,74,14852,13,1
100703,200,36,7264,11,1
100704,200,28,5666,13,0
100705,200,39,7823,13,1
100706,200,39,7880,18,0
100707,200,66,13194,16,0
100708,200,25,5067,19,0
100709,200,25,5079,13,2
100710,200,12,2321,22,0
100711,200,87,17444,11,0
100712,200,12,2404,20,0
100713,200,17,3452,18,0
100714,200,11,2270,14,2
100715,200,87,17399,22,1
100716,200,27,5488,13,1
100717,200,97,19419,17,1
100718,200,14,2811,14,1
100719,200,18,3633,15,1
100720,200,21,4163,17,0
100721,200,11,2132,11,0
100722,200,70,13973,18,1
100723,200,13,2684,17,1
100724,200,54,10845,13,1
100725,200,22,4377,15,2
100726,200,19,3743,24,1
100727,200,21,4148,12,1
100728,200,5,1051,15,0
100729,200,54,10739,11,1
100730,200,52,10388,11,1
100731,200,57,11416,12,3
100732,200,13,2600,15,0
100733,200,12,2422,17,0
100734,200,27,5472,12,0
100735,200,12,2451,15,1
100736,200,21,4240,13,0
100737,200,55,10999,14,0
100738,200,25,5003,14,0
100739,200,64,12742,16,1
100740,200,21,4227,18,1
100741,200,20,3917,20,1
100742,200,92,18303,13,0
100743,200,12,2380,18,0
100744,200,69,13726,13,0
100745,200,24,4777,15,0
100746,200,32,6385,14,2
100747,200,100,19973,22,2
100748,200,34,6861,12,0
100749,200,25,4969,18,0
100750,200,99,19845,15,1
100751,200,67,13320,18,1
100752,200,32,6347,12,1
100753,200,14,2743,16,0
100754,200,54,10880,13,0
100755,200,12,2342,19,0
100756,200,88,17650,13,1
100757,200,20,4025,12,0
100758,200,49,9725,11,1
100759,200,60,11904,14,1
100760,200,11,2177,16,0
100761,200,38,7525,12,1
100762,200,24,4834,14,1
100763,200,10,2042,14,1
100764,200,11,2220,19,1
100765,200,5,1052,22,0
100766,200,14,2821,16,1
100767,200,96,19237,11,1
100768,200,21,4107,15,0
100769,200,42,8396,14,1
100770,200,10,2007,13,2
100771,200,98,19627,17,2
100772,200,53,10686,11,1
100773,200,15,2942,19,1
100774,200,44,8858,11,0
100775,200,84,16756,15,0
100776,200,54,10798,13,1
100777,200,12,2323,14,0
100778,200,7,1416,13,0
100779,200,23,4615,23,3
100780,200,12,2461,12,3
100781,200,44,8722,12,0
100782,200,20,3955,16,2
100783,200,50,9957,15,1
100784,200,17,3376,13,0
100785,200,44,8823,18,1
100786,200,52,10322,20,1
100787,200,23,4621,19,3
100788,200,55,10976,18,1
100789,200,18,3660,13,0
100790,200,52,10482,14,1
100791,200,36,7119,15,1
100792,200,48,9582,22,0
100793,200,23,4508,22,0
100794,200,11,2207,16,1
100795,200,39,7756,17,0
100796,200,33,6694,14,3
100797,200,18,3691,15,1
100798,200,12,2377,20,1
100799,200,12,2313,20,0
100800,200,88,17665,17,1
100801,200,13,2596,15,2
100802,200,24,4728,14,0
100803,200,22,4302,17,1
100804,200,15,2979,17,3
100805,200,84,16885,22,0
100806,200,28,5593,13,1
100807,200,52,10445,19,0
100808,200,44,8740,14,2
100809,200,13,2514,22,1
100810,200,38,7655,17,3
100811,200,87,17465,12,1
100812,200,37,7351,16,0
100813,200,54,10820,11,1
100814,200,61,12169,11,3
100815,200,98,19626,14,0
100816,200,10,2070,11,0
100817,200,34,6782,15,0
100818,200,39,7779,20,0
100819,200,14,2791,12,1
100820,200,16,3201,17,0
100821,200,25,4968,11,1
100822,200,66,13120,17,1
100823,200,20,4033,11,0
100824,200,16,3291,14,2
100825,200,21,4272,19,0
100826,200,25,5056,15,1
100827,200,14,2844,13,1
100828,200,14,2703,14,1
100829,200,10,1904,12,0
100830,200,41,8224,17,0
100831,200,24,4766,11,1
100832,200,13,2610,12,1
100833,200,29,5731,13,2
100834,200,13,2539,13,1
100835,200,29,5714,20,0
100836,200,22,4323,17,0
100837,200,37,7336,13,1
100838,200,67,13499,17,0
100839,200,69,13758,12,0
100840,200,26,5155,13,0
100841,200,11,2258,12,1
100842,200,18,3597,22,0
100843,200,13,2515,11,0
100844,200,22,4420,22,1
100845,200,33,6578,18,1
100846,200,22,4422,13,1
100847,200,51,10274,18,1
100848,200,27,5343,20,0
100849,200,12,2376,13,1
100850,200,27,5346,13,0
100851,200,14,2827,12,3
100852,200,100,19943,13,1
100853,200,16,3131,13,1
100854,200,13,2552,25,0
100855,200,22,4477,19,1
100856,200,32,6474,13,1
100857,200,15,3033,12,0
100858,200,15,2936,11,0
100859,200,93,18606,18,1
100860,200,11,2168,18,1
100861,200,14,2853,11,1
100862,200,85,17048,23,0
100863,200,11,2290,13,0
100864,200,18,3600,13,1
100865,200,11,2107,17,1
100866,200,21,4115,19,3
100867,200,22,4327,12,3
100868,200,89,17856,22,1
100869,200,16,3196,12,3
100870,200,95,19081,11,1
100871,200,45,8966,15,3
100872,200,11,2210,13,1
100873,200,23,4539,12,1
100874,200,14,2741,14,1
100875,200,17,3491,13,3
100876,200,23,4541,25,0
100877,200,13,2678,17,0
100878,200,37,7379,11,1
100879,200,31,6272,16,1
100880,200,26,5220,18,1
100881,200,14,2743,20,1
100882,200,25,4998,14,0
100883,200,51,10252,21,1
100884,200,14,2781,13,1
100885,200,34,6852,12,1
100886,200,25,4950,14,0
100887,200,18,3579,21,1
100888,200,66,13191,17,0
100889,200,52,10377,11,1
100890,200,11,2235,14,2
100891,200,53,10502,17,1
100892,200,10,2011,13,1
100893,200,9,1859,25,0
100894,200,19,3760,15,3
100895,200,89,17779,14,0
100896,200,34,6833,12,0
100897,200,34,6812,19,0
100898,200,26,5171,17,0
100899,200,99,19740,14,1
100900,200,94,18711,13,1
100901,200,18,3692,12,0
100902,200,13,2559,11,0
100903,200,13,2517,11,3
100904,200,33,6623,11,2
100905,200,91,18265,12,0
100906,200,81,16124,14,2
100907,200,13,2585,17,0
100908,200,91,18213,11,1
100909,200,42,8380,14,2
100910,200,15,2994,12,0
100911,200,6,1223,22,1
100912,200,6,1118,14,0
100913,200,14,2875,20,0
100914,200,94,18824,16,0
100915,200,68,13577,15,1
100916,200,13,2625,20,0
100917,200,94,18789,14,1
100918,200,23,4538,12,0
100919,200,99,19847,24,1
100920,200,53,10512,12,0
100921,200,22,4444,13,2
100922,200,11,2154,11,0
100923,200,96,19190,14,2
100924,200,22,4490,11,2
100925,200,18,3506,14,0
100926,200,12,2372,16,0
100927,200,51,10231,14,0
100928,200,27,5410,11,0
100929,200,40,7978,11,1
100930,200,19,3867,12,1
100931,200,14,2838,14,0
100932,200,23,4695,18,0
100933,200,17,3339,13,2
100934,200,10,2080,11,0
100935,200,10,2096,18,0
100936,200,31,6209,15,2
100937,200,90,18061,22,0
100938,200,86,17123,13,2
100939,200,12,2372,12,2
100940,200,24,4883,18,1
100941,200,20,3904,13,0
100942,200,23,4627,12,1
100943,200,35,7094,12,0
100944,200,17,3423,12,0
100945,200,33,6674,11,3
100946,200,84,16880,11,0
100947,200,45,9094,12,0
100948,200,42,8446,19,0
100949,200,60,11916,23,2
100950,200,23,4534,11,0
100951,200,49,9852,19,1
100952,200,31,6151,13,0
100953,200,12,2302,11,0
100954,200,12,2362,12,0
100955,200,89,17861,13,0
100956,200,96,19187,14,1
100957,200,99,19717,14,0
100958,200,18,3544,16,1
100959,200,43,8500,11,1
100960,200,23,4661,13,0
100961,200,21,4103,17,1
100962,200,21,4249,11,0
100963,200,70,14026,11,1
100964,200,34,6893,15,1
100965,200,31,6125,12,0
100966,200,18,3669,11,3
100967,200,50,10008,14,0
100968,200,12,2387,22,1
100969,200,23,4639,16,1
100970,200,39,7898,11,0
100971,200,13,2534,14,1
100972,200,66,13142,16,0
100973,200,8,1611,15,0
100974,200,27,5363,12,1
100975,200,25,5071,20,0
100976,200,68,13695,17,0
100977,200,67,13402,12,1
100978,200,10,2029,20,3
100979,200,32,6377,20,3
100980,200,27,5429,13,2
100981,200,14,2785,14,0
100982,200,23,4614,18,1
100983,200,13,2610,11,3
100984,200,33,6687,11,0
100985,200,24,4724,11,1
100986,200,31,6179,15,2
100987,200,31,6120,12,2
100988,200,53,10596,11,0
100989,200,27,5467,14,2
100990,200,15,2996,15,0
100991,200,50,9998,13,0
100992,200,20,4078,13,3
100993,200,55,10920,21,1
