EmpId,Age,DistanceFromHome,Education,EducationField,Gender,MaritalStatus
100310,31,5,4,Technical Degree,Male,Married
100311,31,2,3,Human Resources,Male,Married
100312,45,7,3,Life Sciences,Male,Divorced
100313,31,2,4,Life Sciences,Male,Divorced
100314,33,5,4,Life Sciences,Female,Married
100315,39,10,1,Medical,Male,Married
100316,43,10,4,Life Sciences,Female,Single
100317,49,1,2,Technical Degree,Female,Single
100318,52,8,4,Medical,Male,Married
100319,27,5,3,Life Sciences,Female,Single
100320,32,8,2,Technical Degree,Female,Married
100321,27,2,3,Life Sciences,Male,Single
100322,31,7,3,Marketing,Male,Divorced
100323,32,2,4,Medical,Female,Single
100324,28,2,4,Medical,Male,Married
100325,30,28,2,Medical,Female,Married
100326,31,7,2,Life Sciences,Female,Married
100327,39,7,2,Medical,Male,Married
100328,39,3,2,Medical,Female,Married
100329,33,10,3,Marketing,Male,Single
100330,47,5,5,Life Sciences,Male,Married
100331,43,10,4,Life Sciences,Female,Divorced
100332,27,1,1,Marketing,Male,Married
100333,54,20,4,Life Sciences,Female,Single
100334,43,7,3,Life Sciences,Female,Married
100335,45,8,4,Other,Male,Married
100336,40,1,2,Medical,Male,Married
100337,29,8,4,Other,Male,Married
100338,29,9,5,Other,Male,Single
100339,30,5,3,Marketing,Female,Divorced
100340,27,8,4,Marketing,Female,Married
100341,37,5,2,Medical,Male,Divorced
100342,38,15,2,Life Sciences,Male,Divorced
100343,31,7,4,Medical,Female,Single
100344,29,10,1,Marketing,Female,Divorced
100345,35,5,4,Technical Degree,Male,Single
100346,23,26,1,Life Sciences,Male,Divorced
100347,41,6,3,Medical,Male,Single
100348,47,4,1,Medical,Male,Single
100349,42,23,5,Life Sciences,Female,Single
100350,29,2,3,Life Sciences,Male,Married
100351,42,2,1,Technical Degree,Male,Divorced
100352,32,2,3,Medical,Female,Married
100353,48,29,1,Medical,Female,Married
100354,37,6,3,Medical,Male,Divorced
100355,30,25,2,Technical Degree,Female,Married
100356,26,1,3,Life Sciences,Male,Married
100357,42,2,4,Other,Male,Single
100358,21,1,1,Technical Degree,Female,Single
100359,36,1,5,Medical,Female,Single
100360,36,3,4,Medical,Male,Married
100361,57,1,4,Medical,Male,Married
100362,40,10,4,Life Sciences,Female,Married
100363,21,9,2,Medical,Male,Single
100364,33,5,3,Marketing,Female,Single
100365,37,10,3,Medical,Female,Married
100366,46,7,4,Medical,Female,Married
100367,41,4,3,Marketing,Male,Single
100368,50,10,3,Technical Degree,Male,Single
100369,40,22,2,Marketing,Male,Married
100370,31,9,4,Life Sciences,Male,Single
100371,21,12,3,Life Sciences,Female,Single
100372,29,23,3,Life Sciences,Male,Single
100373,35,9,4,Life Sciences,Male,Single
100374,27,1,2,Medical,Male,Divorced
100375,28,9,4,Life Sciences,Male,Single
100376,49,7,3,Other,Male,Single
100377,51,14,2,Life Sciences,Female,Married
100378,36,2,3,Life Sciences,Female,Married
100379,34,19,3,Marketing,Male,Single
100380,55,2,3,Life Sciences,Female,Single
100381,24,10,4,Marketing,Female,Divorced
100382,30,2,1,Technical Degree,Male,Married
100383,26,3,1,Technical Degree,Male,Single
100384,22,11,3,Medical,Female,Married
100385,36,2,2,Medical,Male,Married
100386,30,4,3,Technical Degree,Male,Single
100387,37,14,3,Life Sciences,Female,Divorced
100388,40,2,2,Marketing,Female,Divorced
100389,42,1,4,Life Sciences,Female,Divorced
100390,37,10,4,Life Sciences,Male,Single
100391,43,12,3,Life Sciences,Male,Divorced
100392,40,2,3,Medical,Female,Married
100393,54,5,2,Medical,Male,Married
100394,34,4,4,Marketing,Female,Married
100395,31,7,2,Medical,Female,Married
100396,43,21,3,Medical,Male,Married
100397,43,8,4,Other,Female,Divorced
100398,25,4,2,Life Sciences,Female,Single
100399,37,25,5,Medical,Female,Married
100400,31,1,2,Life Sciences,Male,Married
100401,39,1,1,Life Sciences,Male,Divorced
100402,56,6,3,Life Sciences,Female,Married
100403,30,12,3,Technical Degree,Female,Single
100404,41,1,3,Marketing,Male,Married
100405,28,17,2,Medical,Male,Divorced
100406,25,3,3,Medical,Male,Married
100407,52,3,3,Medical,Male,Married
100408,45,10,2,Life Sciences,Male,Married
100409,52,4,2,Life Sciences,Female,Married
100410,42,29,2,Life Sciences,Female,Divorced
100411,30,2,3,Life Sciences,Female,Single
100412,60,7,3,Life Sciences,Female,Married
100413,46,18,3,Medical,Female,Divorced
100414,42,28,4,Technical Degree,Female,Married
100415,24,1,1,Technical Degree,Female,Single
100416,34,6,2,Marketing,Female,Divorced
100417,38,2,2,Life Sciences,Male,Married
100418,40,2,4,Life Sciences,Female,Married
100419,26,23,3,Life Sciences,Female,Divorced
100420,30,3,3,Life Sciences,Male,Married
100421,29,3,4,Medical,Male,Married
100422,29,25,5,Technical Degree,Female,Married
100423,19,2,2,Technical Degree,Male,Single
100424,30,22,4,Other,Female,Married
100425,57,29,3,Marketing,Male,Divorced
100426,50,29,4,Life Sciences,Male,Married
100427,30,2,3,Medical,Female,Single
100428,60,28,3,Marketing,Female,Married
100429,47,2,2,Medical,Female,Divorced
100430,46,2,3,Life Sciences,Male,Married
100431,35,22,3,Life Sciences,Male,Single
100432,54,8,4,Life Sciences,Female,Single
100433,34,2,4,Life Sciences,Male,Divorced
100434,46,10,3,Marketing,Female,Married
100435,31,9,1,Life Sciences,Male,Divorced
100436,33,15,1,Medical,Male,Married
100437,33,10,1,Medical,Male,Divorced
100438,30,7,1,Marketing,Male,Single
100439,35,16,3,Life Sciences,Male,Married
100440,31,20,3,Life Sciences,Male,Married
100441,34,23,3,Human Resources,Female,Divorced
100442,42,5,2,Other,Male,Married
100443,36,10,4,Medical,Male,Single
100444,22,4,1,Technical Degree,Male,Single
100445,48,2,5,Marketing,Female,Married
100446,55,18,5,Life Sciences,Female,Single
100447,41,10,2,Life Sciences,Male,Single
100448,35,1,3,Marketing,Male,Married
100449,40,6,3,Life Sciences,Female,Single
100450,39,8,1,Life Sciences,Female,Married
100451,31,2,1,Life Sciences,Male,Single
100452,42,24,3,Medical,Male,Married
100453,45,2,3,Other,Male,Married
100454,26,17,4,Life Sciences,Female,Divorced
100455,29,19,3,Technical Degree,Male,Divorced
100456,33,1,5,Medical,Female,Divorced
100457,31,7,3,Life Sciences,Male,Divorced
100458,18,5,3,Marketing,Male,Single
100459,40,28,3,Other,Male,Divorced
100460,41,2,4,Other,Female,Single
100461,26,29,2,Medical,Male,Divorced
100462,35,1,3,Medical,Female,Single
100463,34,21,4,Life Sciences,Male,Single
100464,26,24,3,Technical Degree,Male,Single
100465,37,1,3,Technical Degree,Female,Single
100466,46,18,1,Medical,Female,Married
100467,41,2,5,Life Sciences,Female,Married
100468,37,9,4,Medical,Male,Divorced
100469,52,6,2,Technical Degree,Male,Divorced
100470,32,11,4,Other,Male,Married
100471,24,24,3,Medical,Male,Married
100472,38,10,3,Medical,Female,Married
100473,37,1,4,Life Sciences,Female,Married
100474,49,18,4,Life Sciences,Male,Divorced
100475,24,23,3,Medical,Male,Married
100476,26,28,2,Marketing,Male,Married
100477,24,17,2,Other,Male,Married
100478,50,3,3,Medical,Male,Married
100479,25,13,1,Medical,Male,Married
100480,24,7,3,Life Sciences,Female,Married
100481,30,12,4,Life Sciences,Male,Married
100482,34,1,2,Life Sciences,Male,Married
100483,31,13,4,Medical,Male,Divorced
100484,35,25,2,Other,Male,Single
100485,31,6,4,Medical,Male,Divorced
100486,27,6,4,Medical,Female,Divorced
100487,37,2,3,Marketing,Male,Married
100488,20,1,3,Life Sciences,Female,Single
100489,42,2,4,Life Sciences,Female,Married
100490,43,6,4,Other,Male,Divorced
100491,38,1,1,Life Sciences,Female,Single
100492,43,9,5,Medical,Male,Divorced
100493,48,1,4,Life Sciences,Female,Married
100494,44,1,4,Life Sciences,Female,Single
100495,34,14,3,Technical Degree,Female,Divorced
100496,27,2,1,Marketing,Male,Divorced
100497,21,22,1,Technical Degree,Male,Single
100498,44,3,4,Other,Male,Married
100499,22,6,1,Medical,Male,Married
100500,33,8,4,Marketing,Male,Divorced
100501,32,9,4,Life Sciences,Female,Married
100502,30,3,3,Medical,Female,Divorced
100503,53,1,1,Medical,Female,Single
100504,34,1,5,Life Sciences,Male,Married
100505,45,26,4,Life Sciences,Female,Married
100506,26,6,3,Life Sciences,Female,Married
100507,37,3,3,Other,Male,Married
100508,29,3,2,Medical,Female,Married
100509,35,6,4,Life Sciences,Male,Single
100510,33,6,3,Life Sciences,Male,Divorced
100511,54,19,4,Medical,Male,Married
100512,36,9,2,Medical,Male,Divorced
100513,27,3,4,Medical,Male,Single
100514,20,10,1,Medical,Male,Single
100515,33,3,3,Life Sciences,Male,Single
100516,35,3,3,Life Sciences,Male,Married
100517,23,4,3,Medical,Male,Married
100518,25,8,3,Life Sciences,Male,Married
100519,38,7,4,Marketing,Female,Single
100520,29,1,4,Life Sciences,Male,Divorced
100521,48,2,1,Marketing,Male,Married
100522,27,3,1,Medical,Female,Divorced
100523,37,10,2,Life Sciences,Male,Single
100524,50,28,1,Medical,Male,Married
100525,34,9,3,Medical,Female,Single
100526,24,3,2,Life Sciences,Female,Single
100527,39,2,4,Technical Degree,Female,Single
100528,32,10,3,Marketing,Male,Single
100529,50,8,2,Technical Degree,Male,Married
100530,38,1,4,Life Sciences,Female,Single
100531,27,1,2,Life Sciences,Female,Married
100532,32,3,2,Life Sciences,Female,Single
100533,47,14,4,Marketing,Male,Single
100534,40,5,4,Life Sciences,Male,Married
100535,53,7,3,Life Sciences,Male,Married
100536,41,10,4,Human Resources,Male,Divorced
100537,60,16,4,Marketing,Male,Single
100538,27,10,2,Life Sciences,Male,Divorced
100539,41,1,3,Human Resources,Male,Married
100540,50,8,4,Marketing,Male,Married
100541,28,1,2,Life Sciences,Female,Single
100542,36,8,3,Life Sciences,Female,Married
100543,38,1,3,Life Sciences,Female,Single
100544,44,24,3,Medical,Male,Single
100545,47,3,3,Medical,Female,Divorced
100546,30,27,5,Marketing,Male,Divorced
100547,29,10,3,Life Sciences,Male,Single
100548,42,19,3,Medical,Male,Divorced
100549,43,15,3,Life Sciences,Male,Married
100550,34,8,2,Medical,Female,Single
100551,23,9,1,Medical,Male,Married
100552,39,3,3,Human Resources,Female,Married
100553,56,9,3,Medical,Male,Married
100554,40,2,1,Medical,Female,Single
100555,27,7,3,Medical,Female,Single
100556,29,10,3,Marketing,Male,Divorced
100557,53,6,3,Life Sciences,Male,Single
100558,35,2,4,Life Sciences,Female,Divorced
100559,32,24,4,Life Sciences,Male,Married
100560,38,2,5,Medical,Male,Married
100561,34,8,5,Life Sciences,Female,Divorced
100562,52,3,4,Marketing,Male,Married
100563,33,1,4,Other,Male,Single
100564,25,26,1,Medical,Female,Single
100565,45,2,2,Technical Degree,Male,Single
100566,23,10,1,Medical,Male,Single
100567,47,27,2,Life Sciences,Female,Single
100568,34,2,3,Other,Male,Single
100569,55,2,3,Medical,Male,Married
100570,36,8,4,Life Sciences,Male,Single
100571,52,19,4,Medical,Male,Married
100572,26,1,2,Life Sciences,Female,Divorced
100573,29,27,3,Medical,Female,Married
100574,26,8,3,Technical Degree,Male,Single
100575,34,1,4,Life Sciences,Female,Single
100576,54,19,4,Medical,Female,Divorced
100577,27,8,1,Marketing,Male,Married
100578,37,10,1,Life Sciences,Female,Divorced
100579,38,2,4,Life Sciences,Female,Single
100580,34,2,4,Medical,Female,Single
100581,35,8,4,Life Sciences,Female,Married
100582,30,1,3,Life Sciences,Male,Married
100583,40,2,2,Medical,Female,Married
100584,34,8,2,Life Sciences,Female,Married
100585,42,8,3,Life Sciences,Male,Divorced
100586,23,6,3,Life Sciences,Male,Married
100587,24,9,3,Life Sciences,Male,Divorced
100588,52,11,4,Life Sciences,Female,Married
100589,50,2,3,Medical,Male,Married
100590,29,1,2,Life Sciences,Female,Married
100591,33,7,3,Medical,Male,Married
100592,33,16,3,Marketing,Female,Single
100593,47,2,2,Other,Female,Married
100594,36,1,3,Other,Female,Married
100595,29,23,2,Life Sciences,Male,Married
100596,58,2,4,Life Sciences,Male,Single
100597,35,1,4,Life Sciences,Female,Single
100598,42,1,2,Life Sciences,Female,Married
100599,28,2,4,Medical,Male,Single
100600,36,13,3,Human Resources,Male,Married
100601,32,4,3,Life Sciences,Female,Married
100602,40,16,4,Medical,Male,Single
100603,30,2,3,Medical,Female,Single
100604,45,2,3,Life Sciences,Female,Single
100605,42,29,3,Life Sciences,Male,Married
100606,38,12,3,Life Sciences,Male,Divorced
100607,34,16,4,Life Sciences,Female,Single
100608,49,11,3,Marketing,Female,Married
100609,55,2,1,Medical,Male,Single
100610,43,14,2,Life Sciences,Male,Married
100611,27,5,1,Technical Degree,Male,Divorced
100612,35,7,3,Other,Male,Single
100613,28,2,4,Marketing,Female,Married
100614,34,3,2,Human Resources,Male,Married
100615,26,5,2,Medical,Female,Married
100616,27,3,3,Medical,Male,Married
100617,51,26,4,Marketing,Female,Married
100618,44,4,3,Medical,Male,Single
100619,25,2,1,Medical,Male,Single
100620,33,1,3,Medical,Male,Divorced
100621,35,27,1,Medical,Female,Single
100622,36,1,2,Life Sciences,Male,Married
100623,32,13,4,Life Sciences,Male,Divorced
100624,30,5,4,Life Sciences,Male,Divorced
100625,53,7,2,Marketing,Female,Married
100626,45,9,3,Marketing,Male,Divorced
100627,32,8,2,Medical,Female,Married
100628,52,25,4,Medical,Female,Married
100629,37,16,4,Marketing,Male,Divorced
100630,28,8,2,Medical,Male,Divorced
100631,22,1,2,Life Sciences,Male,Married
100632,44,8,4,Life Sciences,Male,Married
100633,42,2,1,Medical,Male,Single
100634,36,8,3,Life Sciences,Male,Married
100635,25,3,1,Other,Male,Married
100636,35,9,3,Life Sciences,Female,Married
100637,35,25,4,Life Sciences,Female,Divorced
100638,32,1,3,Life Sciences,Male,Divorced
100639,25,4,1,Marketing,Male,Married
100640,49,1,3,Technical Degree,Female,Married
100641,24,4,1,Life Sciences,Male,Married
100642,32,5,2,Life Sciences,Male,Married
100643,38,9,3,Marketing,Male,Married
100644,42,3,3,Life Sciences,Female,Married
100645,31,11,4,Life Sciences,Male,Married
100646,29,1,3,Medical,Female,Divorced
100647,53,8,3,Marketing,Male,Married
100648,35,25,3,Technical Degree,Male,Married
100649,37,21,2,Medical,Female,Married
100650,53,23,4,Life Sciences,Female,Single
100651,43,1,3,Life Sciences,Female,Married
100652,47,2,2,Marketing,Female,Married
100653,37,19,2,Medical,Male,Single
100654,50,2,4,Life Sciences,Male,Divorced
100655,39,2,3,Life Sciences,Female,Married
100656,33,3,2,Human Resources,Male,Divorced
100657,32,25,4,Life Sciences,Male,Single
100658,29,7,1,Medical,Female,Divorced
100659,44,9,2,Life Sciences,Male,Married
100660,28,5,4,Medical,Male,Single
100661,58,2,1,Life Sciences,Male,Divorced
