EmpId,BusinessTravel,Department,JobLevel,JobRole,JobSatisfaction,NumCompaniesWorked,PerformanceRating,StandardHours,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverTime
100157,Travel_Rarely,Research & Development,2,Manufacturing Director,3,2,3,200,10,2,3,1,0,0,0,No
100158,Travel_Rarely,Research & Development,1,Research Scientist,2,4,4,200,9,3,2,1,0,0,0,Yes
100159,Travel_Rarely,Sales,3,Sales Executive,4,7,3,200,15,2,2,12,11,2,11,No
100160,Travel_Frequently,Sales,1,Sales Representative,3,6,3,200,6,3,3,4,3,1,2,No
100161,Travel_Rarely,Research & Development,1,Research Scientist,4,1,4,200,2,6,3,2,2,2,2,No
100162,Non-Travel,Research & Development,1,Research Scientist,2,6,3,200,6,1,1,2,2,2,2,No
100163,Travel_Rarely,Research & Development,1,Research Scientist,4,1,3,200,5,2,1,5,2,0,2,No
100164,Travel_Rarely,Research & Development,3,Healthcare Representative,4,3,3,200,12,2,1,5,3,1,4,Yes
100165,Non-Travel,Research & Development,1,Research Scientist,3,1,3,200,1,2,2,1,1,0,1,Yes
100166,Travel_Rarely,Research & Development,5,Manager,2,3,3,200,21,5,3,5,4,4,4,No
100167,Travel_Rarely,Research & Development,1,Research Scientist,3,4,3,200,13,2,3,9,8,1,8,No
100168,Travel_Rarely,Sales,3,Sales Executive,4,2,3,200,12,2,3,10,9,7,4,No
100169,Travel_Rarely,Sales,2,Sales Executive,4,4,4,200,12,2,4,8,3,0,7,No
100170,Travel_Rarely,Research & Development,1,Research Scientist,3,3,4,200,8,2,3,5,4,1,4,No
100171,Travel_Rarely,Research & Development,1,Research Scientist,2,0,3,200,6,3,2,5,2,1,1,Yes
100172,Travel_Frequently,Sales,1,Sales Representative,1,0,4,200,1,5,4,0,0,0,0,No
100173,Travel_Frequently,Research & Development,1,Laboratory Technician,2,4,1,200,13,3,2,8,7,7,2,No
100174,Non-Travel,Research & Development,2,Laboratory Technician,1,1,3,200,12,4,3,12,9,6,10,No
100175,Travel_Rarely,Sales,2,Sales Executive,1,4,3,200,9,3,4,5,4,0,3,Yes
100175,Travel_Rarely,Sales,2,Sales Executive,2,4,3,200,9,3,4,5,4,0,3,Yes
100176,Travel_Rarely,Research & Development,1,Research Scientist,1,4,3,200,19,3,3,2,2,2,2,Yes
100177,Travel_Rarely,Research & Development,1,Research Scientist,4,0,3,200,4,2,4,3,1,0,2,No
100178,Travel_Rarely,Research & Development,1,Laboratory Technician,4,1,4,200,1,3,2,1,0,1,0,No
100179,Travel_Rarely,Sales,3,Sales Executive,1,1,3,200,24,2,3,24,13,15,7,No
100180,Travel_Rarely,Research & Development,1,Laboratory Technician,4,1,3,200,2,3,3,2,2,2,1,No
100181,Travel_Rarely,Research & Development,1,Research Scientist,4,8,4,200,7,0,3,4,2,0,2,Yes
100182,Travel_Rarely,Research & Development,1,Research Scientist,2,2,2,200,9,3,3,3,2,1,2,No
100183,Travel_Rarely,Sales,1,Sales Representative,2,1,4,200,4,5,2,4,3,0,2,Yes
100184,Travel_Rarely,Research & Development,1,Laboratory Technician,3,2,3,200,5,2,2,3,2,0,2,No
100185,Travel_Rarely,Research & Development,2,Manufacturing Director,1,1,3,200,5,3,3,4,2,1,3,No
100186,Travel_Rarely,Research & Development,1,Research Scientist,2,1,3,200,8,5,3,8,7,1,6,No
100187,Travel_Rarely,Research & Development,5,Manager,3,1,3,200,21,2,3,20,8,9,9,No
100188,Travel_Rarely,Research & Development,5,Research Director,2,8,3,200,36,3,3,24,15,2,15,No
100189,Travel_Frequently,Research & Development,2,Manufacturing Director,3,1,3,200,10,2,2,10,9,1,9,No
100190,Travel_Rarely,Research & Development,4,Healthcare Representative,2,3,3,200,21,6,3,7,7,1,0,No
100191,Travel_Rarely,Research & Development,5,Manager,3,0,3,200,34,5,3,33,18,11,9,No
100192,Travel_Rarely,Research & Development,1,Research Scientist,2,1,3,200,7,2,2,7,7,0,3,No
100193,Travel_Rarely,Research & Development,2,Manufacturing Director,3,3,3,200,8,1,3,1,0,0,1,Yes
100194,Non-Travel,Research & Development,1,Research Scientist,4,4,3,200,7,3,4,5,4,2,2,No
100195,Non-Travel,Research & Development,4,Manager,4,9,4,200,22,1,3,20,8,11,8,No
100196,Travel_Rarely,Research & Development,1,Research Scientist,1,1,3,200,8,3,2,8,7,1,7,Yes
100197,Travel_Frequently,Research & Development,2,Laboratory Technician,2,5,3,200,10,5,3,6,2,1,2,No
100198,Non-Travel,Research & Development,2,Manufacturing Director,3,2,3,200,11,5,3,5,3,0,2,No
100199,Travel_Rarely,Research & Development,2,Manufacturing Director,3,9,3,200,14,3,3,1,0,0,0,No
100200,Travel_Rarely,Research & Development,2,Manufacturing Director,4,3,3,200,9,3,1,7,7,1,7,No
100201,Travel_Frequently,Research & Development,2,Manufacturing Director,1,5,3,200,6,1,3,2,2,2,0,No
100202,Non-Travel,Research & Development,2,Manufacturing Director,4,1,3,200,7,0,3,7,7,1,7,Yes
100203,Travel_Frequently,Research & Development,1,Research Scientist,3,1,3,200,5,4,4,5,3,2,0,Yes
100204,Travel_Rarely,Research & Development,2,Laboratory Technician,4,8,3,200,15,2,4,7,2,3,7,Yes
100205,Travel_Rarely,Research & Development,2,Healthcare Representative,1,7,3,200,17,2,3,1,0,0,0,Yes
100206,Travel_Rarely,Sales,3,Sales Executive,4,1,4,200,10,3,2,10,4,1,9,No
100207,Travel_Rarely,Research & Development,1,Research Scientist,2,1,3,200,4,2,2,4,2,2,2,Yes
100208,Travel_Frequently,Research & Development,1,Laboratory Technician,4,1,3,200,8,2,3,8,1,1,7,No
100209,Non-Travel,Research & Development,2,Healthcare Representative,4,9,3,200,5,5,1,3,2,0,2,No
100210,Travel_Rarely,Research & Development,3,Healthcare Representative,1,7,3,200,17,3,3,4,2,0,3,No
100211,Travel_Rarely,Sales,3,Sales Executive,4,1,3,200,14,2,2,14,8,9,8,No
100212,Non-Travel,Research & Development,3,Manufacturing Director,3,1,4,200,12,2,3,11,8,5,8,No
100213,Travel_Frequently,Sales,2,Sales Executive,3,1,3,200,7,2,3,7,7,0,7,No
100214,Travel_Rarely,Research & Development,3,Research Director,2,5,1,200,16,5,1,10,9,4,7,No
100215,Travel_Rarely,Research & Development,1,Research Scientist,1,5,3,200,8,5,3,5,2,0,4,Yes
100216,Travel_Rarely,Sales,3,Manager,4,3,3,200,16,3,3,1,0,0,0,Yes
100217,Travel_Frequently,Sales,2,Sales Executive,1,5,3,200,9,5,2,6,3,0,1,No
100218,Travel_Rarely,Research & Development,1,Research Scientist,3,0,3,200,7,1,2,6,2,1,5,No
100219,Non-Travel,Sales,3,Sales Executive,4,6,3,200,23,2,3,19,7,12,8,No
100220,Travel_Rarely,Sales,2,Sales Executive,1,2,3,200,16,4,3,6,2,0,5,No
100221,Travel_Rarely,Research & Development,2,Laboratory Technician,2,8,3,200,16,3,4,13,11,3,7,No
100222,Travel_Rarely,Research & Development,1,Research Scientist,2,6,4,200,7,3,3,3,2,1,1,No
100223,Travel_Frequently,Research & Development,3,Research Director,4,1,3,200,10,1,3,10,8,0,7,Yes
100224,Travel_Rarely,Sales,3,Sales Executive,3,0,3,200,17,6,2,16,10,5,13,No
100225,Non-Travel,Research & Development,2,Manufacturing Director,3,0,3,200,6,2,3,5,4,1,4,No
100226,Travel_Rarely,Research & Development,1,Research Scientist,4,3,3,200,7,6,3,1,0,0,0,No
100227,Travel_Frequently,Sales,1,Sales Representative,4,4,3,200,13,2,3,9,8,5,8,No
100228,Travel_Frequently,Sales,3,Sales Executive,4,1,3,200,11,5,3,11,10,4,1,No
100229,Travel_Frequently,Sales,3,Sales Executive,3,1,3,200,10,3,4,10,7,0,8,No
100230,Travel_Rarely,Research & Development,1,Research Scientist,4,1,3,200,4,3,2,4,3,0,1,Yes
100231,Travel_Rarely,Research & Development,1,Laboratory Technician,4,7,3,200,6,3,2,2,2,2,2,No
100232,Travel_Rarely,Research & Development,5,Manager,4,1,3,200,22,3,3,22,17,11,15,No
100233,Travel_Rarely,Human Resources,1,Human Resources,3,8,3,200,7,2,2,2,2,2,2,No
100234,Travel_Rarely,Sales,5,Manager,4,3,3,200,32,3,2,7,0,0,6,No
100235,Travel_Rarely,Research & Development,1,Laboratory Technician,4,5,3,200,8,2,1,5,4,0,4,Yes
100236,Travel_Rarely,Sales,4,Manager,4,5,4,200,22,3,3,17,13,1,9,Yes
100237,Travel_Rarely,Research & Development,1,Laboratory Technician,1,7,4,200,13,3,4,9,7,1,7,No
100238,Non-Travel,Sales,5,Manager,3,1,3,200,33,2,4,33,7,15,12,Yes
100239,Travel_Rarely,Sales,1,Sales Representative,2,2,3,200,6,5,3,4,3,1,2,No
100240,Travel_Rarely,Research & Development,1,Laboratory Technician,3,0,3,200,4,2,1,3,2,1,2,Yes
100241,Travel_Rarely,Research & Development,1,Laboratory Technician,3,7,3,200,7,1,3,3,2,1,2,No
100242,Non-Travel,Sales,2,Sales Executive,4,0,3,200,4,2,3,3,2,2,2,No
100243,Travel_Rarely,Research & Development,2,Research Scientist,1,2,3,200,17,2,2,1,0,0,0,No
100244,Travel_Rarely,Research & Development,2,Research Scientist,4,1,3,200,9,3,3,9,8,4,7,No
100245,Travel_Rarely,Research & Development,5,Manager,4,0,3,200,25,2,3,24,0,1,7,No
100246,Travel_Frequently,Research & Development,3,Research Director,3,9,3,200,9,3,3,2,2,2,2,No
100247,Travel_Rarely,Research & Development,1,Research Scientist,4,1,3,200,2,2,2,2,2,0,2,No
100248,Travel_Rarely,Research & Development,2,Manufacturing Director,1,6,3,200,13,3,3,11,9,5,9,No
100249,Travel_Rarely,Research & Development,1,Research Scientist,1,2,3,200,17,2,2,3,1,0,2,No
100250,Travel_Frequently,Research & Development,2,Manufacturing Director,3,4,3,200,9,1,3,3,2,0,2,No
100251,Travel_Frequently,Research & Development,3,Manufacturing Director,3,6,3,200,17,5,3,1,0,0,0,No
100252,Travel_Frequently,Research & Development,3,Healthcare Representative,3,0,4,200,20,1,3,19,6,11,8,No
100253,Travel_Rarely,Research & Development,1,Research Scientist,4,1,3,200,6,1,3,6,5,1,5,No
100254,Travel_Rarely,Research & Development,2,Research Scientist,1,3,1,200,10,1,3,3,2,0,2,Yes
100255,Travel_Rarely,Sales,2,Sales Executive,4,2,3,200,10,2,3,3,2,0,2,No
100256,Travel_Rarely,Research & Development,2,Manufacturing Director,3,0,3,200,5,3,3,4,2,1,2,No
100257,Travel_Rarely,Research & Development,1,Laboratory Technician,1,0,3,200,10,4,3,9,6,7,8,Yes
100258,Travel_Rarely,Research & Development,5,Research Director,3,0,3,200,22,5,3,21,7,3,9,No
100259,Travel_Rarely,Research & Development,1,Research Scientist,4,1,3,200,1,0,2,1,0,0,0,No
100260,Travel_Frequently,Research & Development,1,Laboratory Technician,2,0,1,200,6,2,4,5,4,1,4,No
100261,Travel_Frequently,Research & Development,1,Laboratory Technician,2,1,4,200,5,3,1,5,1,0,3,No
